FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
358109,NT-1994-ZF095-94,NT, ,ZF095-94, ,62.1,-115.9666,1994,7,17,1994-07-17 00:00:00,,1994-07-19 00:00:00,1.0,N,N, , ,Sustained Action, , , , ,2018-06-15 00:00:00
212624,AB-1998-W08005,AB, ,W08005, ,55.0357,-117.8966,1998,4,19,1998-04-19 00:00:00,,1998-04-19 00:00:00,1.0,H,H,Surface, , , ,fueltype: O1b, , ,2020-06-01 00:00:00
219762,AB-2005-SWF039,AB, ,SWF039, ,55.3153,-114.878233,2005,5,5,2005-05-05 00:00:00,,2005-05-05 00:00:00,0.1,H,H,Surface, , , ,fueltype: O1a, , ,2020-06-01 00:00:00
203527,AB-2011-CWF150,AB, ,CWF150, ,49.8342,-114.460517,2011,8,13,2011-08-13 00:00:00,,2011-08-13 00:00:00,0.01,H,H,Surface, , , ,fueltype:, , ,2020-06-01 00:00:00
205788,AB-2016-SWF194,AB, ,SWF194, ,56.140283,-114.262883,2016,7,28,2016-07-28 00:00:00,,2016-07-28 00:00:00,0.5,N,N,Ground, , , ,fueltype: C2, , ,2020-06-01 00:00:00
51311,BC-1971-1971-G10249,BC, ,1971-G10249, ,53.847,-120.894,1971,7,16,1971-07-16 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00
218842,AB-2019-HWF022,AB, ,HWF022, ,58.47235,-114.493583,2019,4,25,2019-04-25 00:00:00,,,0.01,H,H,Wildfire, , , , , , ,2020-06-01 00:00:00
271592,MB-2009-EA019,MB, ,EA019, ,49.7977778,-95.1930556,2009,6,28,2009-06-28 00:00:00,,,0.1,H,H, ,FUL,FUL-R (High Priority), , , , ,2010-04-09 00:00:00
104875,BC-1991-1991-N70038,BC, ,1991-N70038, ,50.357,-117.008,1991,8,9,1991-08-09 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00
8477,QC-2022-20221080180,QC, ,20221080180, ,46.4781,-71.7726,2022,5,11,2022-05-11 00:00:00,,2022-05-11 00:00:00,0.2,H,H, , ,Intensive, ,SECTION = Intensive, , ,2023-11-08 00:00:00
403959,ON-1989-PAR60,ON, ,PAR60, ,45.6702,-79.7034,1989,7,26,1989-07-26 00:00:00,,1989-07-28 00:00:00,0.40000000596,H,H,IFR,SUP, , , , , ,2023-05-06 00:00:00
205447,AB-2017-MWF070,AB, ,MWF070, ,57.075417,-112.7688,2017,8,4,2017-08-04 00:00:00,,2017-08-05 00:00:00,0.19,N,N,Surface, , , ,fueltype: C2, , ,2020-06-01 00:00:00
132889,BC-2003-2003-C50214,BC, ,2003-C50214, ,51.6436,-124.1169,2003,7,22,2003-07-22 00:00:00,,,29201.7,H,H,Fire, , , , , , ,2020-05-05 00:00:00
110534,BC-1994-1994-N60028,BC, ,1994-N60028, ,49.237,-119.1,1994,7,23,1994-07-23 00:00:00,,,2.0,N,N,Fire, , , , , , ,2020-05-05 00:00:00
46618,BC-1971-1971-R70047,BC, ,1971-R70047, ,55.083,-127.337,1971,5,15,1971-05-15 00:00:00,,,0.8,H,H,Fire, , , , , , ,2020-05-05 00:00:00
77757,BC-1979-1979-C30015,BC, ,1979-C30015, ,52.148,-121.873,1979,5,1,1979-05-01 00:00:00,,,3.0,H,H,Fire, , , , , , ,2020-05-05 00:00:00
285149,QC-1975-6392,QC, ,1975-6392, ,46.67116,-74.18709,1975,8,9,1975-08-09 00:00:00,,1975-08-11 00:00:00,0.0,H,H, , ,Intensive, , , , ,2018-05-18 00:00:00
270665,MB-2008-WE008,MB, ,WE008, ,52.511667,-101.091111,2008,5,16,2008-05-16 00:00:00,,,3.0,H,H, ,FUL,FUL-R (High Priority), ,Actioned, , ,2009-07-06 00:00:00
64259,BC-1978-1978-NA0034,BC, ,1978-NA0034, ,50.561,-117.959,1978,8,4,1978-08-04 00:00:00,,,1.0,N,N,Fire, , , , , , ,2020-05-05 00:00:00
192655,AB-2008-EWF044,AB, ,EWF044, ,53.351317,-116.85155,2008,5,17,2008-05-17 00:00:00,,2008-05-22 00:00:00,5.87,H,H,Surface, , , ,fueltype: O1a, , ,2020-06-01 00:00:00
